label	band_kb	all_bridge_events_per_frame	cross_bridge_events_per_frame	ps_mean	cross_ps_mean
config1	1-50	23.742195767195767	0.3517526455026455	1.2145714726128552e-05	1.80069833473939e-07
config1	50-100	26.350727513227515	0.9677910052910053	1.3273819759015125e-05	4.8760171299709e-07
config1	100-200	42.08482142857143	2.9638558201058203	1.0677866262205227e-05	7.524258196413801e-07
config1	200-400	45.28925264550264	5.960119047619048	5.826619989838316e-06	7.676666358007263e-07
config1	400-800	23.3510582010582	6.331679894179894	1.5428395597379797e-06	4.1905443313964966e-07
config1	800-1600	4.913458994708995	2.694808201058201	1.7083068308655794e-07	9.413599337863883e-08
config1	1600-3200	0.26848544973544974	0.26848544973544974	5.21698828089502e-09	5.21698828089502e-09
config1	3200-10000	0.0	0.0	0.0	0.0
config2	1-50	20.613723544973546	0.2705026455026455	1.0545256382185908e-05	1.38478596903379e-07
config2	50-100	22.787334656084656	0.8224537037037037	1.14794330222711e-05	4.1444889980245147e-07
config2	100-200	40.04751984126984	2.7695767195767194	1.0161898662476402e-05	7.031043320830836e-07
config2	200-400	47.65135582010582	6.20109126984127	6.133270040129659e-06	7.991440680386553e-07
config2	400-800	28.7692791005291	7.322949735449735	1.9020853787008493e-06	4.85381198291892e-07
config2	800-1600	5.840839947089947	2.975330687830688	2.037778948889145e-07	1.0430376832528431e-07
config2	1600-3200	0.28994708994708995	0.28994708994708995	5.524858281026793e-09	5.524858281026793e-09
config2	3200-10000	0.0	0.0	0.0	0.0
config3	1-50	19.170337301587303	0.16243386243386243	9.807028630364478e-06	8.315601294313223e-08
config3	50-100	22.196097883597883	0.4648809523809524	1.1181645967553665e-05	2.3424700580466644e-07
config3	100-200	39.03723544973545	1.5104828042328042	9.906632134720604e-06	3.834656194090015e-07
config3	200-400	49.87483465608466	3.746031746031746	6.421172096220243e-06	4.828668679822537e-07
config3	400-800	29.330820105820106	5.055291005291005	1.939972318828593e-06	3.355693883389406e-07
config3	800-1600	6.186871693121693	2.601818783068783	2.15451085995625e-07	9.145401171473812e-08
config3	1600-3200	0.20380291005291004	0.20380291005291004	3.882506273609953e-09	3.882506273609953e-09
config3	3200-10000	0.0	0.0	0.0	0.0
