config	chain	n_loops	mean_loop_kb	median_loop_kb	p75_loop_kb	p90_loop_kb	p95_loop_kb	p99_loop_kb
config1	0	415737	244.37799137435445	180.0	334.0	519.4000000000233	706.0	1089.0
config1	1	437411	238.36395975409854	174.0	318.0	522.0	678.0	1110.0
config1	2	412426	245.85648576956837	183.0	337.0	528.0	664.0	1061.0
config1	3	397419	233.46192809100722	170.0	304.0	490.0	638.0	1202.820000000007
config1	4	416427	228.12342379336593	171.0	314.0	482.0	610.0	996.0
config1	5	426724	260.39814493677414	186.0	344.0	575.0	742.0	1297.0
config1	6	393417	239.01469687380057	181.0	322.0	525.0	667.0	983.0
config1	7	413677	244.55160668830996	174.0	326.0	554.0	709.0	1064.0
config1	8	407640	237.45109900892945	182.0	317.0	522.0	675.0	940.0
config1	9	439122	230.72628107906232	177.0	309.0	483.0	635.0	968.0
config2	0	410818	277.34420351591217	210.0	372.0	600.0	751.0	1333.0
config2	1	439065	261.4546411123638	207.0	355.0	574.0	709.0	983.0
config2	2	407983	264.22486966368695	207.0	360.0	536.0	709.0	1094.0
config2	3	394750	272.6584141861938	202.0	370.0	593.0	744.0	1212.0
config2	4	401458	269.22129836745063	205.0	366.0	567.0	727.0	1168.0
config2	5	416639	271.1919647464592	217.0	387.0	578.0	692.0	942.6199999999953
config2	6	409249	270.3614254402576	201.0	381.0	596.0	749.0	1094.0
config2	7	448270	267.1581234523836	207.0	364.0	588.0	739.0	983.0
config2	8	418808	292.18280214322556	209.0	392.0	609.0	826.0	1466.0
config2	9	412960	281.9207792522278	209.0	386.0	594.0	805.0	1293.0
