config	chain	one_ctcf_leg_any_per_frame	one_ctcf_leg_any_per_boundary_frame	boundary_crossing_stripe_per_frame	boundary_crossing_stripe_per_boundary_frame	boundary_crossing_stripe_frac_of_one_ctcf	any_cross_per_frame	any_cross_per_boundary_frame	multi_tad_cross_per_frame	multi_tad_cross_per_boundary_frame	crossed_boundaries_per_frame	crossed_boundaries_per_boundary_frame	boundary_pass_events_per_boundary_frame	boundary_pass_events_per_moving_leg_step
config1	0	3.6224	0.6037333333333333	0.5721	0.09535	0.15793396643109542	2.9365	0.48941666666666667	0.00475	0.0007916666666666666	2.94125	0.49020833333333336	0.0018750937546877344	0.000616094018685447
config1	1	4.44115	0.7401916666666667	0.4609	0.07681666666666667	0.10377942649989305	2.4566	0.4094333333333333	0.02455	0.004091666666666667	2.48115	0.413525	0.0016000800040002	0.0005263475319235261
config1	2	3.4089	0.56815	0.4204	0.07006666666666667	0.12332423949074482	2.87255	0.47875833333333334	0.14035	0.023391666666666668	3.0377	0.5062833333333333	0.002091771255229428	0.0006850735839993013
config1	3	2.8741	0.47901666666666665	0.3578	0.05963333333333334	0.1244911450541039	2.64965	0.4416083333333333	0.14065	0.023441666666666666	2.7903	0.46505	0.0021667750054169374	0.0007108350397930924
config1	4	3.02925	0.504875	0.4249	0.07081666666666667	0.14026574234546504	3.0394	0.5065666666666667	0.0125	0.0020833333333333333	3.0519	0.50865	0.002250112505625281	0.000708512648262832
config1	5	3.8118	0.6353	0.50455	0.08409166666666666	0.13236528674117215	2.9185	0.48641666666666666	0.0073	0.0012166666666666667	2.9258	0.4876333333333333	0.0017834225044585563	0.0005763362787528514
config1	6	2.7524	0.4587333333333333	0.26855	0.04475833333333333	0.09756939398343265	3.1751	0.5291833333333333	0.075	0.0125	3.2501	0.5416833333333333	0.0023667850059169624	0.000762033556308645
config1	7	3.41215	0.5686916666666667	0.2133	0.03555	0.06251190598303123	2.7151	0.4525166666666667	0.01875	0.003125	2.73385	0.45564166666666667	0.00200010000500025	0.0006713962804646062
config1	8	3.53975	0.5899583333333334	0.2511	0.04185	0.07093721308001978	2.69895	0.449825	0.0004	6.666666666666667e-05	2.69935	0.4498916666666667	0.002050102505125256	0.0006834263552539095
config1	9	3.07195	0.5119916666666666	0.17345	0.028908333333333334	0.05646250752779179	2.95045	0.4917416666666667	0.07375	0.012291666666666666	3.0242	0.5040333333333333	0.0021251062553127656	0.0006682600081763578
config2	0	4.67165	0.7786083333333333	0.7016	0.11693333333333333	0.15018248370490084	2.90435	0.4840583333333333	0.1861	0.031016666666666668	3.09045	0.515075	0.0019584312548960783	0.0006291834002677376
config2	1	4.80735	0.801225	0.3907	0.06511666666666667	0.08127138652272042	2.37985	0.39664166666666667	0.001	0.00016666666666666666	2.38085	0.3968083333333333	0.0018250912545627281	0.0005637921846560997
config2	2	4.3112	0.7185333333333334	0.469	0.07816666666666666	0.10878641677491185	2.4622	0.41036666666666666	0.03565	0.005941666666666666	2.49785	0.41630833333333334	0.001800090004500225	0.0005748365308615363
config2	3	4.08615	0.681025	0.62425	0.10404166666666667	0.15277216940151486	3.078	0.513	0.0677	0.011283333333333333	3.1457	0.5242833333333333	0.0021001050052502626	0.0006738634570799785
config2	4	4.1996	0.6999333333333333	0.7299	0.12165	0.17380226688256023	3.1739	0.5289833333333334	0.0386	0.0064333333333333334	3.2125	0.5354166666666667	0.0023167825057919564	0.0007281604257904994
config2	5	4.8975	0.81625	0.549	0.0915	0.11209800918836141	2.8591	0.47651666666666664	0.08675	0.014458333333333333	2.94585	0.490975	0.0021334400053336002	0.000669419304902189
config2	6	3.9963	0.66605	0.5129	0.08548333333333333	0.12834371793909366	2.94755	0.49125833333333335	0.1007	0.016783333333333334	3.06035	0.5100583333333333	0.0021584412553961032	0.0006595197473962975
config2	7	4.169	0.6948333333333333	0.33795	0.056325	0.08106260494123291	3.31355	0.5522583333333333	0.05625	0.009375	3.3698	0.5616333333333333	0.0020584362551460907	0.0006249778600960493
config2	8	3.9151	0.6525166666666666	0.8066	0.13443333333333332	0.2060228346657812	3.4488	0.5748	0.32675	0.05445833333333333	3.77555	0.6292583333333334	0.002391786255979466	0.000736541437513313
config2	9	4.55435	0.7590583333333333	0.6027	0.10045	0.1323350203651454	2.50615	0.4176916666666667	0.095	0.015833333333333335	2.60115	0.433525	0.0015667450039168625	0.0005087075580954855
